label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	1037.27	-83.90	-345901.82	1037.27	225000.00	1121.18	0.00	225000.00	0.81	0.00	-280180.51	4501206.53	4276206.53	2015	0.81	-345901.82	4501206.53	K096	3968908.00	3688727.49	3688727.49
0.00	0.00	1106.72	-9.04	-37272.87	1106.72	225000.00	1115.77	0.00	225000.00	0.9436	0.00	-35169.18	4787522.70	4562522.70	2015	0.9436	-37272.87	4787522.70	K097	4565182.00	4530012.82	4530012.82
0.00	0.00	1784.02	190.84	786753.29	1784.02	225000.00	1593.18	0.00	225000.00	0.8805	0.00	692745.42	7579714.49	7354714.49	2015	0.8805	786753.29	7579714.49	K098	6008166.00	6700911.42	6700911.42
0.00	0.00	1091.19	-12.20	-50282.04	1091.19	225000.00	1103.39	0.00	225000.00	0.84	0.00	-42236.22	4723480.70	4498480.70	2015	0.84	-50282.04	4723480.70	K099	4045898.00	4003661.78	4003661.78
0.00	0.00	895.29	14.73	60714.90	895.29	225000.00	880.56	0.00	225000.00	0.8292	0.00	50343.79	3915871.98	3690871.98	2015	0.8292	60714.90	3915871.98	K100	3235066.00	3285409.79	3285409.79
0.00	0.00	1195.86	-0.54	-2234.98	1195.86	225000.00	1196.40	0.00	225000.00	0.8731	0.00	-1951.43	5154967.80	4929967.80	2015	0.8731	-2234.98	5154967.80	K101	4531459.00	4529507.57	4529507.57
0.00	0.00	1744.55	35.10	144716.65	1744.55	225000.00	1709.45	0.00	225000.00	0.8281	0.00	119836.21	7416989.48	7191989.48	2015	0.8281	144716.65	7416989.48	K102	6060669.00	6180505.21	6180505.21
0.00	0.00	1442.21	-46.65	-192305.22	1442.21	225000.00	1488.85	0.00	225000.00	0.8956	0.00	-172231.96	6170565.41	5945565.41	2015	0.8956	-192305.22	6170565.41	K104	5722186.00	5549954.04	5549954.04
0.00	0.00	2387.64	-83.67	-344929.81	2387.64	225000.00	2471.31	0.00	225000.00	0.8108	0.00	-279653.19	10068159.30	9843159.30	2015	0.8108	-344929.81	10068159.30	K105	8485033.00	8205379.81	8205379.81
0.00	0.00	781.22	-34.54	-142398.48	781.22	225000.00	815.76	0.00	225000.00	0.81	0.00	-115342.78	3445623.23	3220623.23	2015	0.81	-142398.48	3445623.23	K106	2949048.00	2833705.22	2833705.22
0.00	0.00	666.35	-3.26	-13424.40	666.35	225000.00	669.60	0.00	225000.00	0.9592	0.00	-12876.28	2972050.94	2747050.94	2015	0.9592	-13424.40	2972050.94	K107	2872766.00	2859889.72	2859889.72
0.00	0.00	1212.43	-17.21	-70949.57	1212.43	225000.00	1229.64	0.00	225000.00	0.8469	0.00	-60084.06	5223314.83	4998314.83	2015	0.8469	-70949.57	5223314.83	K108	4517936.00	4457851.94	4457851.94
